iter	RMSE
0	53.52782533
1	48.74914635
2	44.63860383
3	40.99498247
4	37.654325
5	34.73939188
6	31.87863226
7	29.51884642
8	27.23373346
9	25.20541645
10	23.30128744
11	21.50141202
12	19.89480508
13	18.49363616
14	17.04662492
15	15.80326056
16	14.6414654
17	13.65684033
18	12.71061207
19	11.87972374
20	11.12922773
21	10.43953579
22	9.82027781
23	9.334528837
24	8.819778001
25	8.403142434
26	8.057258573
27	7.687475396
28	7.326426951
29	7.046448569
30	6.782362656
31	6.580497812
32	6.371472611
33	6.151798915
34	5.998520191
35	5.795924752
36	5.621098711
37	5.469259129
38	5.325956765
39	5.191088237
40	5.056034267
41	4.959481717
42	4.860097375
43	4.771181709
44	4.711465208
45	4.644256599
46	4.581237347
47	4.545444415
48	4.477955706
49	4.428964809
50	4.357491939
51	4.319600551
52	4.279060098
53	4.237926709
54	4.205178235
55	4.182307336
56	4.165042421
57	4.134108239
58	4.117435607
59	4.092628064
60	4.044481464
61	4.031909029
62	3.995978751
63	3.956816931
64	3.935282349
65	3.90314944
66	3.890428807
67	3.869686925
68	3.851995697
69	3.825414925
70	3.812389288
71	3.796095338
72	3.78470255
73	3.760603386
74	3.748492889
75	3.717782967
76	3.697577156
77	3.678899641
78	3.665432824
79	3.658400236
80	3.65100937
81	3.633166983
82	3.618728122
83	3.611804583
84	3.5973932
85	3.580555135
86	3.568493393
87	3.546715796
88	3.53642156
89	3.524896604
90	3.520112658
91	3.50339616
92	3.491555295
93	3.483751491
94	3.47189694
95	3.459910126
96	3.446035209
97	3.44077978
98	3.433333616
99	3.425782353
100	3.41278536
101	3.405298618
102	3.394267313
103	3.387473764
104	3.377750737
105	3.368673829
106	3.357130188
107	3.350326238
108	3.338803181
109	3.325027919
110	3.320673913
111	3.313613512
112	3.308191214
113	3.302168899
114	3.289090219
115	3.276723098
116	3.266633584
117	3.262177615
118	3.253291752
119	3.248757919
120	3.243471716
121	3.236709909
122	3.231420282
123	3.222233146
124	3.215288437
125	3.207983276
126	3.199958218
127	3.192256034
128	3.186727623
129	3.178876219
130	3.176346047
131	3.168499043
132	3.161319228
133	3.154582703
134	3.146983893
135	3.143323457
136	3.13786798
137	3.131293942
138	3.121300823
139	3.115494692
140	3.11107433
141	3.103983334
142	3.099694754
143	3.094126518
144	3.089669721
145	3.083332121
146	3.074143926
147	3.069303613
148	3.062788777
149	3.056619389
150	3.053741195
151	3.050912654
152	3.046426967
153	3.042012814
154	3.036994585
155	3.034109474
156	3.026272278
157	3.021523591
158	3.014970324
159	3.009299142
160	3.003469948
161	2.999182422
162	2.995142362
163	2.990939228
164	2.984577016
165	2.982633417
166	2.978699304
167	2.976946953
168	2.972959432
169	2.967887791
170	2.96348202
171	2.960689295
172	2.952752145
173	2.941836972
174	2.934810948
175	2.93355735
176	2.930292246
177	2.925509441
178	2.918946969
179	2.914278727
180	2.909794459
181	2.906960149
182	2.901476154
183	2.898390501
184	2.893317224
185	2.889408798
186	2.886771794
187	2.881769679
188	2.876784272
189	2.872873177
190	2.865146057
191	2.861699345
192	2.858237172
193	2.855464922
194	2.850825197
195	2.846100259
196	2.843405037
197	2.840006557
198	2.83359062
199	2.831100306
200	2.826078213
201	2.822297439
202	2.819187394
203	2.81516994
204	2.811935042
205	2.809155315
206	2.805983314
207	2.800510604
208	2.797786273
209	2.794605527
210	2.791499649
211	2.78939034
212	2.787304613
213	2.784470853
214	2.78227125
215	2.779892666
216	2.776589363
217	2.773861563
218	2.769724534
219	2.765456515
220	2.762590641
221	2.758413295
222	2.754152818
223	2.752770494
224	2.750786001
225	2.747005011
226	2.745088484
227	2.742832495
228	2.740401061
229	2.738602146
230	2.736109811
231	2.733777559
232	2.729617579
233	2.727060938
234	2.724933297
235	2.722780681
236	2.716159626
237	2.713593849
238	2.711096367
239	2.708197705
240	2.706296388
241	2.70377141
242	2.702363381
243	2.700087003
244	2.696945607
245	2.69281338
246	2.690368376
247	2.687455635
248	2.685241589
249	2.684128
250	2.682557863
251	2.68078318
252	2.678182971
253	2.67341031
254	2.670112376
255	2.668443596
256	2.665644498
257	2.663251898
258	2.661366856
259	2.65770828
260	2.6540251
261	2.652216776
262	2.650618171
263	2.648771905
264	2.647347012
265	2.644649758
266	2.641655064
267	2.63736057
268	2.632279281
269	2.627555386
270	2.626101562
271	2.622495884
272	2.620688426
273	2.618019559
274	2.614245456
275	2.611696216
276	2.608375925
277	2.606767483
278	2.601783906
279	2.599581519
280	2.597128543
281	2.593321587
282	2.592370843
283	2.588944211
284	2.58707158
285	2.586114259
286	2.58400768
287	2.582634338
288	2.580783942
289	2.576858366
290	2.574327402
291	2.573164785
292	2.568864612
293	2.565715537
294	2.564068225
295	2.562064629
296	2.56004241
297	2.558409239
298	2.556034053
299	2.554555139
